sample_id,energy_mev,voxels,criterion,interp_fraction,max_gamma,rung,backend,device,dtype,path,pass_rate_pct,seconds_best,seconds_mean,repeats
bd667134-6718-48ea-ad29-8f00b2463949,116.248260140419,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,96.75118858954042,0.05375539802480489,0.0548859026748687,3
c2c6b732-5882-4091-a6df-6ffffc7ea5a5,93.33474904298782,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,95.60510064961103,0.08663765003439039,0.08738660300150514,3
e040513b-d5bd-4c76-8b52-151dc0e23362,113.97911131381989,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,95.0415892756198,0.08598396903835237,0.08735018130391836,3
e880a943-c2d7-456b-8701-0f5b0cec81e5,120.99025964736938,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,92.94489721445079,0.08056242996826768,0.08190578567640235,3
f56ab9b1-d9a1-4f5f-9a63-a39f37a25eea,92.88086861371994,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,97.03682393555812,0.053994194022379816,0.05492204299662262,3
f5a98603-643e-4eb5-b1b2-82506d507d92,127.92829990386963,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,97.1381169639154,0.05273305298760533,0.05303155002184212,3
f66617bb-c240-4004-b316-ed986e759e9d,99.09188866615295,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.94686503719447,0.056109583005309105,0.057508131372742355,3
f6bab911-32d5-4edc-974e-b9c25e415588,91.70978635549545,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,99.54844006568145,0.0514437920646742,0.05161298469950756,3
ffe59e68-ac3e-47f4-a592-8ed831d25460,98.0342847108841,144000,2%/2mm/10%,10,2.0,3,torch,cuda:1,float64,tensor,92.9957036844161,0.0704215809237212,0.07326301431749016,3
080281e0-850c-4030-a1eb-da148c77a9cf,156.6183578968048,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.92045956694653,0.05255350994411856,0.053525095960746207,3
13b54e4f-f8f8-4b93-84c5-61ac5a170582,177.97147750854492,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.10291798107255,0.06044564093463123,0.06382273766212165,3
15e69e83-9763-4e3d-b98f-0112f9d8a0ff,135.43013453483582,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,97.08515511138872,0.057516606990247965,0.05935622666341563,3
2863720e-f0d2-4679-a463-e8942091b113,161.7336881160736,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.07912382655341,0.05649095098488033,0.05881165899336338,3
2a0b77ce-1f12-4a2b-8712-ddb79a9e5746,142.26308584213257,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,97.33057185594292,0.05594503891188651,0.05770406099812438,3
31b5555a-ff42-4060-8504-97805fe9dbca,120.86735486984253,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.7753331267431,0.05863014596980065,0.06192717635227988,3
38cf13ac-fc55-4e7a-82a9-76d9e278380e,137.6460564136505,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.48789075002668,0.05550224194303155,0.05774360499344766,3
3de01567-4d63-4d60-be0f-717162ef3a2e,160.04783034324646,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,98.61297539149888,0.05747956898994744,0.05815408134367317,3
4ee9e379-9cfe-42bd-9e27-7bb3325fdaf5,166.2262988090515,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.43810658947727,0.05657105799764395,0.06013397666780899,3
510113c3-76bd-4bc9-9089-71e2c1bb2036,79.81263816356659,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.76403964134025,0.057583083980716765,0.060664454979511596,3
6893e011-a87f-45fe-ae10-516bc74a5257,146.84538960456848,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.37203247051616,0.05570848600473255,0.05785834164513896,3
695cf12e-95f8-4d8a-afdd-02ea04ada6e2,142.38298654556274,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,92.94754437634323,0.08085715502966195,0.08116009101892512,3
72fd486f-084e-4000-8d19-355604cf687f,158.20101022720337,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.06681227042588,0.057075242046266794,0.05956656171474606,3
74af10f2-83d9-4fbd-b848-5ac41694f3fd,173.58777046203613,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.21663151551672,0.05930515506770462,0.06364441903618474,3
7a78633c-2ba5-4fee-b606-628fa3f3fa30,80.71996614336967,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.74890144381669,0.054774005082435906,0.05520238036600252,3
836e6824-cf0d-4dff-8cbc-a17f7f47ae2a,99.21854853630066,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.93588373584099,0.056848728097975254,0.0591930306594198,3
883a1941-a022-4bd0-aa7e-bc053cb60856,153.4105908870697,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,98.11055040488206,0.05607927497476339,0.057088315642128386,3
9247005d-f858-45db-874d-bdb91ec05f6e,116.248260140419,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,95.1891756452017,0.058769011055119336,0.062188453351457916,3
acad417b-c3e8-464b-9cf2-f9d9b831095b,144.26342368125916,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,94.47196354269863,0.06414013809990138,0.06913780440421154,3
ae66f60e-ad24-4a8c-b34d-ab554da98962,148.0334234237671,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,89.51143591825686,0.13049742195289582,0.13162608130369335,3
bb89c4a7-8088-46df-bc8f-e5e97bdb002b,153.72092843055725,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,81.0571736785329,0.1385327990865335,0.1412518210321044,3
bca0a1d8-902b-43e3-9330-00667f14172f,118.96189868450165,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,99.29352780309935,0.056191193987615407,0.05731518333777785,3
bce1cef6-54fc-43b5-9380-4dfecc596a02,145.6991982460022,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,98.95474025295286,0.05724716791883111,0.059884618618525565,3
bd667134-6718-48ea-ad29-8f00b2463949,116.248260140419,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,96.75118858954042,0.05857812997419387,0.06125835162432244,3
c2c6b732-5882-4091-a6df-6ffffc7ea5a5,93.33474904298782,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,95.60510064961103,0.0661095529794693,0.06835394263422738,3
e040513b-d5bd-4c76-8b52-151dc0e23362,113.97911131381989,144000,2%/2mm/10%,10,2.0,4,torch,cuda:1,float32,array,95.05774045061777,0.0692089470103383,0.07056521100457758,3
